Title,Genre,Director,Runtime,Revenue,AvgRating
Hunt for the Wilderpeople,Adventure,Taika Waititi,101,5.2,80
Interstellar,Adventure,Christopher Nolan,169,187.99,80
The Martian,Adventure,Ridley Scott,144,228.43,80
127 Hours,Adventure,Danny Boyle,94,18.33,79
Hugo,Adventure,Martin Scorsese,126,73.82,79
Life of Pi,Adventure,Ang Lee,127,124.98,79
The Revenant,Adventure,Alejandro González Iñárritu,156,183.64,78
True Grit,Adventure,Ethan Coen,110,171.03,78
Harry Potter and the Half-Blood Prince,Adventure,David Yates,153,301.96,77
Into the Wild,Adventure,Sean Penn,148,18.35,77
Inglourious Basterds,Adventure,Quentin Tarantino,153,120.52,76
Silence,Adventure,Martin Scorsese,161,7.08,76
The Jungle Book,Adventure,Jon Favreau,106,364,76
Rescue Dawn,Adventure,Werner Herzog,120,5.48,75
Zombieland,Adventure,Ruben Fleischer,88,75.59,75
Wild,Adventure,Jean-Marc Vallée,115,37.88,74
Bridge to Terabithia,Adventure,Gabor Csupo,96,82.23,73
Harry Potter and the Order of the Phoenix,Adventure,David Yates,138,292,73
The Hobbit: The Desolation of Smaug,Adventure,Peter Jackson,161,258.36,73
Blood Diamond,Adventure,Edward Zwick,143,57.37,72
Bone Tomahawk,Adventure,S. Craig Zahler,132,66.01,72
Stardust,Adventure,Matthew Vaughn,127,38.35,72
The Fall,Adventure,Tarsem Singh,117,2.28,72
Fantastic Beasts and Where to Find Them,Adventure,David Yates,133,234.02,71
Harry Potter and the Deathly Hallows: Part 1,Adventure,David Yates,146,294.98,71
Pete's Dragon,Adventure,David Lowery,102,76.2,70
The Hunger Games,Adventure,Gary Ross,142,408,70
Sunshine,Adventure,Danny Boyle,107,3.68,69
The Hobbit: An Unexpected Journey,Adventure,Peter Jackson,169,303,69
Prometheus,Adventure,Ridley Scott,124,126.46,68
Swiss Army Man,Adventure,Dan Kwan,97,4.21,68
The Hobbit: The Battle of the Five Armies,Adventure,Peter Jackson,144,255.11,67
The Imaginarium of Doctor Parnassus,Adventure,Terry Gilliam,123,7.69,67
The Kings of Summer,Adventure,Jordan Vogt-Roberts,95,1.29,67
Idiocracy,Adventure,Mike Judge,84,0.44,66
Into the Woods,Adventure,Rob Marshall,125,128,65
Kicks,Adventure,Justin Tipping,80,0.15,65
The BFG,Adventure,Steven Spielberg,117,55.47,65
Paul,Adventure,Greg Mottola,104,37.37,64
The Secret Life of Walter Mitty,Adventure,Ben Stiller,114,58.23,64
Goosebumps,Adventure,Rob Letterman,103,80.02,62
Miss Peregrine's Home for Peculiar Children,Adventure,Tim Burton,127,87.24,62
Nerve,Adventure,Henry Joost,96,38.56,62
Australia,Adventure,Baz Luhrmann,165,49.55,60
Alice in Wonderland,Adventure,Tim Burton,108,334.19,59
Divergent,Adventure,Neil Burger,139,150.83,58
Gold,Adventure,Stephen Gaghan,120,7.22,58
Max,Adventure,Boaz Yakin,111,42.65,58
Mike and Dave Need Wedding Dates,Adventure,Jake Szymanski,98,46.01,56
Passengers,Adventure,Morten Tyldum,116,100.01,56
Ted 2,Adventure,Seth MacFarlane,115,81.26,56
The Golden Compass,Adventure,Chris Weitz,113,70.08,56
Night at the Museum: Secret of the Tomb,Adventure,Shawn Levy,98,113.73,55
Oz the Great and Powerful,Adventure,Sam Raimi,130,234.9,54
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Bill Condon,115,292.3,54
The Twilight Saga: Eclipse,Adventure,David Slade,124,300.52,54
Insurgent,Adventure,Robert Schwentke,119,130,53
Percy Jackson & the Olympians: The Lightning Thief,Adventure,Chris Columbus,118,88.76,53
Percy Jackson: Sea of Monsters,Adventure,Thor Freudenthal,106,68.56,49
Alice Through the Looking Glass,Adventure,James Bobin,113,77.04,48
Vacation,Adventure,John Francis Daley,99,58.88,48
Pan,Adventure,Joe Wright,111,34.96,47
The Twilight Saga: Breaking Dawn - Part 1,Adventure,Bill Condon,117,281.28,47
The Green Inferno,Adventure,Eli Roth,100,7.19,46
Your Highness,Adventure,David Gordon Green,102,21.56,44
Mad Max: Fury Road,Action,George Miller,120,153.63,86
The Dark Knight,Action,Christopher Nolan,152,533.32,86
The Bourne Ultimatum,Action,Paul Greengrass,115,227.14,83
The Dark Knight Rises,Action,Christopher Nolan,164,448.13,82
Avatar,Action,James Cameron,162,760.51,81
District 9,Action,Neill Blomkamp,112,115.65,81
Inception,Action,Christopher Nolan,148,292.57,81
Star Trek,Action,J.J. Abrams,127,257.7,81
Star Wars: Episode VII - The Force Awakens,Action,J.J. Abrams,136,936.63,81
Casino Royale,Action,Martin Campbell,144,167.01,80
Hot Fuzz,Action,Edgar Wright,121,23.62,80
Skyfall,Action,Sam Mendes,143,304.36,80
Guardians of the Galaxy,Action,James Gunn,121,333.13,79
Iron Man,Action,Jon Favreau,126,318.3,79
Looper,Action,Rian Johnson,119,66.47,79
Sicario,Action,Denis Villeneuve,121,46.88,79
The Fighter,Action,David O. Russell,116,93.57,79
Dawn of the Planet of the Apes,Action,Matt Reeves,130,208.54,78
Rush,Action,Ron Howard,123,26.9,78
Captain America: Civil War,Action,Anthony Russo,147,408.08,77
Snowpiercer,Action,Bong Joon Ho,126,4.56,77
Warrior,Action,Gavin O'Connor,140,13.65,77
X-Men: Days of Future Past,Action,Bryan Singer,132,233.91,77
The Hunger Games: Catching Fire,Action,Francis Lawrence,146,424.65,76
The World's End,Action,Edgar Wright,109,26,76
Edge of Tomorrow,Action,Doug Liman,113,100.19,75
Mission: Impossible - Rogue Nation,Action,Christopher McQuarrie,131,195,75
Star Trek Into Darkness,Action,J.J. Abrams,132,228.76,75
The Age of Shadows,Action,Jee-woon Kim,140,0.54,75
The Avengers,Action,Joss Whedon,143,623.28,75
The Lost City of Z,Action,James Gray,141,8.01,75
Busanhaeng,Action,Sang-ho Yeon,118,2.13,74
Captain America: The Winter Soldier,Action,Anthony Russo,136,259.75,74
Doctor Strange,Action,Scott Derrickson,115,232.6,74
Hellboy II: The Golden Army,Action,Guillermo del Toro,120,75.75,74
Mission: Impossible - Ghost Protocol,Action,Brad Bird,132,209.36,74
American Sniper,Action,Clint Eastwood,133,350.12,73
Apocalypto,Action,Mel Gibson,139,50.86,73
Deadpool,Action,Tim Miller,108,363.02,73
Spy,Action,Paul Feig,119,110.82,73
Kick-Ass,Action,Matthew Vaughn,117,48.04,72
Rise of the Planet of the Apes,Action,Rupert Wyatt,105,176.74,72
Rogue One,Action,Gareth Edwards,133,532.17,72
Scott Pilgrim vs. the World,Action,Edgar Wright,112,31.49,72
The Nice Guys,Action,Shane Black,116,36.25,72
X: First Class,Action,Matthew Vaughn,132,146.41,72
21 Jump Street,Action,Phil Lord,110,138.45,71
22 Jump Street,Action,Phil Lord,112,191.62,71
Live Free or Die Hard,Action,Len Wiseman,128,134.52,71
Tropic Thunder,Action,Ben Stiller,107,110.42,71
Avengers: Age of Ultron,Action,Joss Whedon,141,458.99,70
Deepwater Horizon,Action,Peter Berg,107,61.28,70
Fast Five,Action,Justin Lin,131,209.81,70
Furious Seven,Action,James Wan,137,350.03,70
Fury,Action,David Ayer,134,85.71,70
John Wick,Action,Chad Stahelski,101,43,70
Star Trek Beyond,Action,Justin Lin,122,158.8,70
Ant-Man,Action,Peyton Reed,117,180.19,69
Shin Gojira,Action,Hideaki Anno,120,1.91,69
Unstoppable,Action,Tony Scott,98,81.56,69
Captain America: The First Avenger,Action,Joe Johnston,124,176.64,68
Everest,Action,Baltasar Kormákur,121,43.25,68
Kingsman: The Secret Service,Action,Matthew Vaughn,129,128.25,68
Lone Survivor,Action,Peter Berg,121,125.07,68
Mission: Impossible III,Action,J.J. Abrams,126,133.38,68
The Amazing Spider-Man,Action,Marc Webb,136,262.03,68
Cloverfield,Action,Matt Reeves,85,80.03,67
Colossal,Action,Nacho Vigalondo,109,2.87,67
Free Fire,Action,Ben Wheatley,90,1.8,67
Hanna,Action,Joe Wright,111,40.25,67
Iron Man Three,Action,Shane Black,130,408.99,67
Pacific Rim,Action,Guillermo del Toro,131,101.79,67
Pineapple Express,Action,David Gordon Green,111,87.34,67
Sherlock Holmes,Action,Guy Ritchie,128,209.02,67
Superman Returns,Action,Bryan Singer,154,200.07,67
World War Z,Action,Marc Forster,116,202.35,67
Allied,Action,Robert Zemeckis,124,40.07,66
Furious 6,Action,Justin Lin,130,238.67,66
RED,Action,Robert Schwentke,111,90.36,66
Talladega Nights: The Ballad of Ricky Bobby,Action,Adam McKay,108,148.21,66
The Hunger Games: Mockingjay - Part 1,Action,Francis Lawrence,123,337.1,66
The Hunger Games: Mockingjay - Part 2,Action,Francis Lawrence,137,281.67,66
The Other Guys,Action,Adam McKay,107,119.22,66
Transformers,Action,Michael Bay,144,318.76,66
Wanted,Action,Timur Bekmambetov,110,134.57,66
Watchmen,Action,Zack Snyder,162,107.5,66
300,Action,Zack Snyder,117,210.59,65
Blood Father,Action,Jean-François Richet,88,93.95,65
Dredd,Action,Pete Travis,95,13.4,65
Jurassic World,Action,Colin Trevorrow,124,652.18,65
Salt,Action,Phillip Noyce,100,118.31,65
The Equalizer,Action,Antoine Fuqua,132,101.53,65
The Incredible Hulk,Action,Louis Leterrier,112,134.52,65
The Man from U.N.C.L.E.,Action,Guy Ritchie,116,45.43,65
Body of Lies,Action,Ridley Scott,128,39.38,64
Indiana Jones and the Kingdom of the Crystal Skull,Action,Steven Spielberg,122,317.01,64
Iron Man 2,Action,Jon Favreau,124,312.06,64
Real Steel,Action,Shawn Levy,127,85.46,64
Spectre,Action,Sam Mendes,148,200.07,64
Taken,Action,Pierre Morel,93,145,64
The Bourne Legacy,Action,Tony Gilroy,135,113.17,64
The Wolverine,Action,James Mangold,126,132.55,64
Thor,Action,Kenneth Branagh,115,181.02,64
Turbo Kid,Action,François Simard,93,0.05,64
Centurion,Action,Neil Marshall,97,0.12,63
Godzilla,Action,Gareth Edwards,123,200.66,63
Jason Bourne,Action,Paul Greengrass,123,162.16,63
Keanu,Action,Peter Atencio,100,20.57,63
Lucy,Action,Luc Besson,89,126.55,63
Maleficent,Action,Robert Stromberg,97,241.41,63
Man of Steel,Action,Zack Snyder,143,291.02,63
Men in Black 3,Action,Barry Sonnenfeld,106,179.02,63
Noah,Action,Darren Aronofsky,138,101.16,63
Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski,151,423.03,63
RocknRolla,Action,Guy Ritchie,114,5.69,63
Shooter,Action,Antoine Fuqua,124,46.98,63
The Accountant,Action,Gavin O'Connor,128,86.2,63
The Finest Hours,Action,Craig Gillespie,117,27.55,63
The Heat,Action,Paul Feig,117,159.58,63
The Maze Runner,Action,Wes Ball,113,102.41,63
Tomorrowland,Action,Brad Bird,130,93.42,63
Unknown,Action,Jaume Collet-Serra,113,61.09,63
X-Men: The Last Stand,Action,Brett Ratner,104,234.36,63
Oblivion,Action,Joseph Kosinski,124,89.02,62
Quantum of Solace,Action,Marc Forster,106,168.37,62
Sherlock Holmes: A Game of Shadows,Action,Guy Ritchie,129,186.83,62
The Karate Kid,Action,Harald Zwart,140,176.59,62
The Magnificent Seven,Action,Antoine Fuqua,132,93.38,62
Thor: The Dark World,Action,Alan Taylor,112,206.36,62
X-Men: Apocalypse,Action,Bryan Singer,144,155.33,62
13 Hours,Action,Michael Bay,144,52.82,61
Pirates of the Caribbean: At World's End,Action,Gore Verbinski,169,309.4,61
Sleight,Action,J.D. Dillard,89,3.85,61
Spider-Man 3,Action,Sam Raimi,139,336.53,61
The Book of Eli,Action,Albert Hughes,118,94.82,61
Hands of Stone,Action,Jonathan Jakubowicz,111,4.71,60
In Time,Action,Andrew Niccol,109,37.55,60
Jack Reacher,Action,Christopher McQuarrie,130,58.68,60
Jack Ryan: Shadow Recruit,Action,Kenneth Branagh,105,50.55,60
Robin Hood,Action,Ridley Scott,140,105.22,60
The Amazing Spider-Man 2,Action,Marc Webb,142,202.85,60
Hardcore Henry,Action,Ilya Naishuller,96,9.24,59
John Carter,Action,Andrew Stanton,132,73.06,59
Rambo,Action,Sylvester Stallone,92,42.72,59
Snow White and the Huntsman,Action,Rupert Sanders,127,155.11,59
The Expendables 2,Action,Simon West,103,85.02,59
Tron,Action,Joseph Kosinski,125,172.05,59
Central Intelligence,Action,Rawson Marshall Thurber,107,127.38,58
Escape Plan,Action,Mikael Håfström,115,25.12,58
In the Heart of the Sea,Action,Ron Howard,122,24.99,58
Mr. Right,Action,Paco Cabezas,95,0.03,58
Predators,Action,Nimród Antal,107,52,58
Prince of Persia: The Sands of Time,Action,Mike Newell,116,90.76,58
Terminator Salvation,Action,McG,115,125.32,58
The A-Team,Action,Joe Carnahan,117,77.21,58
Triple 9,Action,John Hillcoat,115,12.63,58
White House Down,Action,Roland Emmerich,131,73.1,58
Ghostbusters,Action,Paul Feig,116,128.34,57
Hancock,Action,Peter Berg,92,227.95,57
Riddick,Action,David Twohy,119,42,57
RoboCop,Action,José Padilha,117,58.61,57
Snakes on a Plane,Action,David R. Ellis,105,34.01,57
Bastille Day,Action,James Watkins,92,0.04,56
Batman v Superman: Dawn of Justice,Action,Zack Snyder,151,330.25,56
Exodus: Gods and Kings,Action,Ridley Scott,150,65.01,56
Fast & Furious,Action,Justin Lin,107,155.02,56
Now You See Me 2,Action,Jon M. Chu,129,65.03,56
Pirates of the Caribbean: On Stranger Tides,Action,Rob Marshall,136,241.06,56
Sin City: A Dame to Kill For,Action,Frank Miller,102,13.75,56
300: Rise of an Empire,Action,Noam Murro,102,106.37,55
Chappie,Action,Neill Blomkamp,120,31.57,55
Eagle Eye,Action,D.J. Caruso,118,101.11,55
Faster,Action,George Tillman Jr.,98,23.23,55
The Expendables,Action,Sylvester Stallone,103,102.98,55
Underworld: Rise of the Lycans,Action,Patrick Tatopoulos,92,45.8,55
You Don't Mess with the Zohan,Action,Dennis Dugan,113,100.02,55
2012,Action,Roland Emmerich,158,166.11,54
Death Race,Action,Paul W.S. Anderson,105,36.06,54
Gangster Squad,Action,Ruben Fleischer,113,46,54
Hercules,Action,Brett Ratner,98,72.66,54
Jack Reacher: Never Go Back,Action,Edward Zwick,118,58.4,54
Kick-Ass 2,Action,Jeff Wadlow,103,28.75,54
The Belko Experiment,Action,Greg McLean,89,10.16,54
The Legend of Tarzan,Action,David Yates,110,126.59,54
X-Men Origins: Wolverine,Action,Gavin Hood,107,179.88,54
Grimsby,Action,Louis Leterrier,83,6.86,53
Immortals,Action,Tarsem Singh,110,83.5,53
Man on a Ledge,Action,Asger Leth,102,18.6,53
Masterminds,Action,Jared Hess,95,17.36,53
Maze Runner: The Scorch Trials,Action,Wes Ball,131,81.69,53
Never Back Down,Action,Jeff Wadlow,110,24.85,53
No Escape,Action,John Erick Dowdle,103,27.29,53
Olympus Has Fallen,Action,Antoine Fuqua,119,98.9,53
Resident Evil: The Final Chapter,Action,Paul W.S. Anderson,107,26.84,53
The Fast and the Furious: Tokyo Drift,Action,Justin Lin,104,62.49,53
Total Recall,Action,Len Wiseman,118,58.88,53
Transformers: Dark of the Moon,Action,Michael Bay,154,352.36,53
Dracula Untold,Action,Gary Shore,92,55.94,52
Inferno,Action,Ron Howard,121,34.26,52
Need for Speed,Action,Scott Waugh,132,43.57,52
Pride and Prejudice and Zombies,Action,Burr Steers,108,10.91,52
San Andreas,Action,Brad Peyton,114,155.18,52
Terminator Genisys,Action,Alan Taylor,126,89.73,52
The Great Wall,Action,Yimou Zhang,103,45.13,52
Underworld Awakening,Action,Måns Mårlind,88,62.32,52
Viking,Action,Andrey Kravchuk,133,23.05,52
3 Days to Kill,Action,McG,117,30.69,51
Suicide Squad,Action,David Ayer,123,325.02,51
Warcraft,Action,Duncan Jones,123,47.17,51
Battleship,Action,Peter Berg,131,65.17,50
Birth of the Dragon,Action,George Nolfi,103,93.05,50
Criminal,Action,Ariel Vromen,113,14.27,50
G.I. Joe: Retaliation,Action,Jon M. Chu,110,122.51,50
Self/less,Action,Tarsem Singh,117,12.28,50
Teenage Mutant Ninja Turtles: Out of the Shadows,Action,Dave Green,112,0.54,50
Clash of the Titans,Action,Louis Leterrier,106,163.19,49
I Am Number Four,Action,D.J. Caruso,109,55.09,49
Monster Trucks,Action,Chris Wedge,104,33.04,49
The Gunman,Action,Pierre Morel,115,10.64,49
Assassin's Creed,Action,Justin Kurzel,115,54.65,48
Ben-Hur,Action,Timur Bekmambetov,123,26.38,48
Green Lantern,Action,Martin Campbell,114,116.59,48
Jumper,Action,Doug Liman,88,80.17,48
Pandorum,Action,Christian Alvart,108,10.33,48
Resident Evil: Afterlife,Action,Paul W.S. Anderson,97,60.13,48
Scouts Guide to the Zombie Apocalypse,Action,Christopher Landon,93,3.64,48
The Expendables 3,Action,Patrick Hughes,126,39.29,48
The Huntsman: Winter's War,Action,Cedric Nicolas-Troyan,114,47.95,48
Transformers: Revenge of the Fallen,Action,Michael Bay,150,402.08,48
Wrath of the Titans,Action,Jonathan Liebesman,99,83.64,48
Jupiter Ascending,Action,Lana Wachowski,127,47.38,47
Mechanic: Resurrection,Action,Dennis Gansel,98,21.2,47
Pompeii,Action,Paul W.S. Anderson,105,23.22,47
Resident Evil: Retribution,Action,Paul W.S. Anderson,96,42.35,47
Sucker Punch,Action,Zack Snyder,110,36.38,47
The Host,Action,Andrew Niccol,125,26.62,47
The Last Witch Hunter,Action,Breck Eisner,106,27.36,47
The Three Musketeers,Action,Paul W.S. Anderson,110,20.32,47
This Means War,Action,McG,103,54.76,47
Keeping Up with the Joneses,Action,Greg Mottola,105,14.9,46
The Mortal Instruments: City of Bones,Action,Harald Zwart,130,31.17,46
Allegiant,Action,Robert Schwentke,120,66,45
Collide,Action,Eran Creevy,99,2.2,45
G.I. Joe: The Rise of Cobra,Action,Stephen Sommers,118,150.17,45
Teenage Mutant Ninja Turtles,Action,Jonathan Liebesman,101,190.87,45
Transformers: Age of Extinction,Action,Michael Bay,165,245.43,45
Ghost Rider,Action,Mark Steven Johnson,114,115.8,44
London Has Fallen,Action,Babak Najafi,99,62.4,44
Point Break,Action,Ericson Core,114,28.77,44
Fool's Gold,Action,Andy Tennant,112,70.22,43
Independence Day: Resurgence,Action,Roland Emmerich,120,103.14,43
Kickboxer: Vengeance,Action,John Stockwell,90,131.56,43
Red Dawn,Action,Dan Bradley,93,44.8,43
Seventh Son,Action,Sergei Bodrov,102,17.18,43
Taken 3,Action,Olivier Megaton,109,89.25,43
The 5th Wave,Action,J Blakeson,112,34.91,43
Vampire Academy,Action,Mark Waters,104,7.79,43
Legion,Action,Scott Stewart,100,40.17,42
Pixels,Action,Chris Columbus,105,78.75,42
The Mummy: Tomb of the Dragon Emperor,Action,Rob Cohen,112,102.18,42
After Earth,Action,M. Night Shyamalan,100,60.52,41
Underworld: Blood Wars,Action,Anna Foerster,91,30.35,41
Gods of Egypt,Action,Alex Proyas,126,31.14,40
The Do-Over,Action,Steven Brill,108,0.54,40
Aliens vs Predator - Requiem,Action,Colin Strause,94,41.8,38
Dragonball Evolution,Action,James Wong,85,9.35,36
Fantastic Four,Action,Josh Trank,100,56.11,35
Max Steel,Action,Stewart Hendler,92,3.77,34
